,Agency Name,Location Name,Address,City,Zip code,County,Congress Dist,Congressional Full Name,Rep Dist,Rep Full Name,Senate Dist,Senator Full Name,Bldg Status,Year Acquired,Year Constructed,Square Footage,Total Floors,Floors Above Grade,Floors Below Grade,Usage Description,Usage Description 2,Usage Description 3
0,Department of Natural Resources,Anderson Lake Conservation Area - Fulton County,Anderson Lake C.a.,Astoria,61501,Fulton,17,Cheri Bustos,93,Hammond Norine K.,47,Jil Tracy,In Use,1975,1975,144,1,1,0,Unusual,Unusual,Not provided
1,Department of Natural Resources,Anderson Lake Conservation Area - Fulton County,Anderson Lake C.a.,Astoria,61501,Fulton,17,Cheri Bustos,93,Hammond Norine K.,47,Jil Tracy,In Use,2004,2004,144,1,1,0,Unusual,Unusual,Not provided
2,Department of Natural Resources,Anderson Lake Conservation Area - Fulton County,Anderson Lake C.a.,Astoria,61501,Fulton,17,Cheri Bustos,93,Hammond Norine K.,47,Jil Tracy,In Use,2004,2004,144,1,1,0,Unusual,Unusual,Not provided
3,Department of Natural Resources,Anderson Lake Conservation Area - Fulton County,Anderson Lake C.a.,Astoria,61501,Fulton,17,Cheri Bustos,93,Hammond Norine K.,47,Jil Tracy,In Use,2004,2004,144,1,1,0,Unusual,Unusual,Not provided
4,Department of Natural Resources,Anderson Lake Conservation Area - Fulton County,Anderson Lake C.a.,Astoria,61501,Fulton,17,Cheri Bustos,93,Hammond Norine K.,47,Jil Tracy,In Use,2004,2004,144,1,1,0,Unusual,Unusual,Not provided
5,Department of Natural Resources,Anderson Lake Conservation Area - Fulton County,Anderson Lake C.a.,Astoria,61501,Fulton,17,Cheri Bustos,93,Hammond Norine K.,47,Jil Tracy,In Use,2004,2004,144,1,1,0,Unusual,Unusual,Not provided
6,Department of Natural Resources,Dixon Springs State Park - Pope County,Rr #2,Golconda,62938,Pope,15,John Shimkus,118,Phelps Brandon W.,59,Dale Fowler,In Use,2000,2000,120,1,1,0,Unusual,Unusual,Not provided
7,Department of Natural Resources,Dixon Springs State Park - Pope County,Rr #2,Golconda,62938,Pope,15,John Shimkus,118,Phelps Brandon W.,59,Dale Fowler,In Use,2000,2000,120,1,1,0,Unusual,Unusual,Not provided
8,Department of Natural Resources,Matthiessen State Park - LaSalle County,"R. R. 178, Box 509",Utica,61373,LaSalle,16,Adam Kinzinger,76,Long Jerry Lee,38,Sue Rezin,In Use,2000,2000,144,1,1,0,Unusual,Unusual,Not provided
9,Department of Natural Resources,Matthiessen State Park - LaSalle County,"R. R. 178, Box 509",Utica,61373,LaSalle,16,Adam Kinzinger,76,Long Jerry Lee,38,Sue Rezin,In Use,2000,2000,144,1,1,0,Unusual,Unusual,Not provided
10,Department of Natural Resources,Matthiessen State Park - LaSalle County,"R. R. 178, Box 509",Utica,61373,LaSalle,16,Adam Kinzinger,76,Long Jerry Lee,38,Sue Rezin,In Use,2000,2000,144,1,1,0,Unusual,Unusual,Not provided
11,Department of Natural Resources,Matthiessen State Park - LaSalle County,"R. R. 178, Box 509",Utica,61373,LaSalle,16,Adam Kinzinger,76,Long Jerry Lee,38,Sue Rezin,In Use,2000,2000,144,1,1,0,Unusual,Unusual,Not provided
12,Department of Natural Resources,Eldon Hazlet State Park - Clinton County,Keyesport Road,Carlyle,62231,Clinton,15,John Shimkus,107,Cavaletto John,54,Kyle McCarter,In Use,1999,1999,96,1,1,0,Storage,Storage,Not provided
13,Department of Natural Resources,Weinberg-King State Park - Schuyler County,P.o. Box 203,Augusta,62311,Schuyler,18,Darin M. LaHood,93,Hammond Norine K.,47,Jil Tracy,In Use,1980,1980,625,1,1,0,Assembly,Assembly,Not provided
14,Department of Natural Resources,Weinberg-King State Park - Schuyler County,P.o. Box 203,Augusta,62311,Schuyler,18,Darin M. LaHood,93,Hammond Norine K.,47,Jil Tracy,In Use,2000,2000,144,1,1,0,Unusual,Unusual,Not provided
15,Department of Natural Resources,Weinberg-King State Park - Schuyler County,P.o. Box 203,Augusta,62311,Schuyler,18,Darin M. LaHood,93,Hammond Norine K.,47,Jil Tracy,In Use,2000,2000,144,1,1,0,Unusual,Unusual,Not provided
16,Department of Natural Resources,Weinberg-King State Park - Schuyler County,P.o. Box 203,Augusta,62311,Schuyler,18,Darin M. LaHood,93,Hammond Norine K.,47,Jil Tracy,In Use,1997,1997,740,1,1,0,Assembly,Assembly,Not provided
17,Department of Natural Resources,Weinberg-King State Park - Schuyler County,P.o. Box 203,Augusta,62311,Schuyler,18,Darin M. LaHood,93,Hammond Norine K.,47,Jil Tracy,In Use,2000,2000,320,1,1,0,Assembly,Assembly,Not provided
18,Department of Natural Resources,Weinberg-King State Park - Schuyler County,P.o. Box 203,Augusta,62311,Schuyler,18,Darin M. LaHood,93,Hammond Norine K.,47,Jil Tracy,In Use,2000,2000,144,1,1,0,Unusual,Unusual,Not provided
19,Department of Natural Resources,Weinberg-King State Park - Schuyler County,P.o. Box 203,Augusta,62311,Schuyler,18,Darin M. LaHood,93,Hammond Norine K.,47,Jil Tracy,In Use,1976,1976,625,1,1,0,Assembly,Assembly,Not provided
20,Department of Natural Resources,Weinberg-King State Park - Schuyler County,P.o. Box 203,Augusta,62311,Schuyler,18,Darin M. LaHood,93,Hammond Norine K.,47,Jil Tracy,In Use,2000,2000,144,1,1,0,Unusual,Unusual,Not provided
21,Department of Natural Resources,Wolf Creek State Park,R.r. 1 Box 99,Windsor,62534,Shelby,15,John Shimkus,102,Halbrook Brad,51,Chapin Rose,In Use,1980,1980,144,1,1,0,Storage,Storage,Not provided
22,Department of Natural Resources,Wolf Creek State Park,R.r. 1 Box 99,Windsor,62534,Shelby,15,John Shimkus,102,Halbrook Brad,51,Chapin Rose,In Use,1994,1994,2000,1,1,0,Storage,Storage,Not provided
23,Department of Corrections,Dwight Correctional Center - Livingston County,Route 17 West,Dwight,60420,Livingston,16,Adam Kinzinger,90,Demmer Tom,45,Tim Bivins,In Use,2001,2001,2048,1,1,0,Industrial,Industrial,Not provided
24,Department of Human Services,Joliet Sexually Violent Persons Facility,1125 North Collins Street,Joliet,60432,Will,11,Bill Foster,86,"Walsh, Jr. Lawrence M.",43,Pat McGuire,In Use,2001,2001,22000,2,2,0,Health Care,Detention & Correc,Not provided
25,Department of Corrections,Southwestern Correctional Center - E. St. Louis,950 Kingshighway P.o. Box 50,East St Louis,62203,St. Clair,12,Mike Bost,113,Hoffman Jay,57,"James F. Clayborne, Jr.",In Use,2000,2000,120,1,1,0,Storage,Storage,Not provided
26,Department of Transportation,Fithian Maintenance Storage Facility - Vermilion County,1518 East 1800 North Road,Fithian,61844,Vermilion,15,John Shimkus,104,Hays Chad,52,Scott M. Bennett,In Use,2000,2000,4860,1,1,0,Storage,Storage,Not provided
27,Department of State Police,Effingham District 12 - Effingham County,2 Miles East Of Mason,Effingham,62454,Effingham,15,John Shimkus,107,Cavaletto John,54,Kyle McCarter,In Use,2000,2000,156,1,1,0,Industrial,Industrial,Not provided
28,Department of Military Affairs,Marseilles Armory (Training Area) - LaSalle Co.,2515 N. 23rd. Road,Marseilles,61341,LaSalle,16,Adam Kinzinger,75,Welter David A.,38,Sue Rezin,In Use,2000,2000,1080,1,1,0,Unusual,Unusual,Not provided
29,Department of Agriculture,DuQuoin State Fairgrounds - Perry County,"Route #2, Box 306",Duquoin,62832,Perry,12,Mike Bost,115,Bryant Terri,58,Paul Schimpf,In Use,2000,2000,2020,1,1,0,Storage,Storage,Not provided
30,Department of Agriculture,DuQuoin State Fairgrounds - Perry County,"Route #2, Box 306",Duquoin,62832,Perry,12,Mike Bost,115,Bryant Terri,58,Paul Schimpf,In Use,2000,2000,3360,1,1,0,Storage,Storage,Not provided
31,Department of Agriculture,DuQuoin State Fairgrounds - Perry County,"Route #2, Box 306",Duquoin,62832,Perry,12,Mike Bost,115,Bryant Terri,58,Paul Schimpf,In Use,2000,2000,1800,1,1,0,Storage,Storage,Not provided
32,Governors State University,Governors State University - Will County,Governor's Hwy & Univ Pkwy,University Park,60466,Will,3,Daniel William Lipinski,85,Connor John,43,Pat McGuire,In Use,1993,1993,25000,3,2,1,Business,Business,Not provided
33,Governors State University,Governors State University - Will County,Governor's Hwy & Univ Pkwy,University Park,60466,Will,3,Daniel William Lipinski,85,Connor John,43,Pat McGuire,In Use,1972,1970,11000,3,2,1,Education,Education,Not provided
34,Governors State University,Governors State University - Will County,Governor's Hwy & Univ Pkwy,University Park,60466,Will,3,Daniel William Lipinski,85,Connor John,43,Pat McGuire,In Use,1970,1970,10000,2,2,0,Storage,Storage,Not provided
35,Department of Natural Resources,Beaver Dam State Park - Macoupin County,14548 Beaver Dam Lane,Plainview,62685,Macoupin,13,Rodney L. Davis,95,Bourne Avery,48,Andy Manar,In Use,2001,2001,1400,1,1,0,Mercantile,Mercantile,Not provided
36,Department of Natural Resources,Joel D. Brunsvold Building,650 East Taintor Road,Springfield,62707,Sangamon,13,Rodney L. Davis,87,Butler Tim,44,William E. Brady,In Use,2001,2001,183175,5,4,1,Business,Business,Not provided
37,Department of Natural Resources,Walnut Point State Park - Douglas County,"Rr #2, Box 250",Oakland,61943,Douglas,15,John Shimkus,102,Halbrook Brad,51,Chapin Rose,In Use,2000,2000,220,1,1,0,Unusual,Unusual,Not provided
38,Department of Natural Resources,Walnut Point State Park - Douglas County,"Rr #2, Box 250",Oakland,61943,Douglas,15,John Shimkus,102,Halbrook Brad,51,Chapin Rose,In Use,2000,2000,220,1,1,0,Unusual,Unusual,Not provided
39,Department of Natural Resources,Walnut Point State Park - Douglas County,"Rr #2, Box 250",Oakland,61943,Douglas,15,John Shimkus,102,Halbrook Brad,51,Chapin Rose,In Use,2000,2000,220,1,1,0,Unusual,Unusual,Not provided
40,Department of Natural Resources,Walnut Point State Park - Douglas County,"Rr #2, Box 250",Oakland,61943,Douglas,15,John Shimkus,102,Halbrook Brad,51,Chapin Rose,In Use,2000,2000,220,1,1,0,Unusual,Unusual,Not provided
41,Department of Natural Resources,Walnut Point State Park - Douglas County,"Rr #2, Box 250",Oakland,61943,Douglas,15,John Shimkus,102,Halbrook Brad,51,Chapin Rose,In Use,2000,2000,220,1,1,0,Unusual,Unusual,Not provided
42,Department of Natural Resources,Walnut Point State Park - Douglas County,"Rr #2, Box 250",Oakland,61943,Douglas,15,John Shimkus,102,Halbrook Brad,51,Chapin Rose,In Use,2000,2000,220,1,1,0,Unusual,Unusual,Not provided
43,Department of Natural Resources,Walnut Point State Park - Douglas County,"Rr #2, Box 250",Oakland,61943,Douglas,15,John Shimkus,102,Halbrook Brad,51,Chapin Rose,In Use,2000,2000,220,1,1,0,Unusual,Unusual,Not provided
44,Department of Natural Resources,Walnut Point State Park - Douglas County,"Rr #2, Box 250",Oakland,61943,Douglas,15,John Shimkus,102,Halbrook Brad,51,Chapin Rose,In Use,2000,2000,220,1,1,0,Unusual,Unusual,Not provided
45,Department of Natural Resources,Wolf Creek State Park,R.r. 1 Box 99,Windsor,62534,Shelby,15,John Shimkus,102,Halbrook Brad,51,Chapin Rose,In Use,2001,2001,144,1,1,0,Unusual,Unusual,Not provided
46,Department of Natural Resources,Kickapoo State Park - Vermilion County,"Rr #1, Box 374",Oakwood,61858,Vermilion,15,John Shimkus,104,Hays Chad,52,Scott M. Bennett,In Use,1996,1977,1625,1,1,0,Mercantile,Storage,Not provided
47,Department of Natural Resources,Weldon Springs State Park - DeWitt County,"Rr #2, Box 87",Clinton,61727,DeWitt,13,Rodney L. Davis,101,Mitchell Bill,51,Chapin Rose,In Use,2000,2000,144,1,1,0,Unusual,Unusual,Not provided
48,Department of Natural Resources,Weldon Springs State Park - DeWitt County,"Rr #2, Box 87",Clinton,61727,DeWitt,13,Rodney L. Davis,101,Mitchell Bill,51,Chapin Rose,In Use,2000,2000,144,1,1,0,Unusual,Unusual,Not provided
49,Department of Natural Resources,Weldon Springs State Park - DeWitt County,"Rr #2, Box 87",Clinton,61727,DeWitt,13,Rodney L. Davis,101,Mitchell Bill,51,Chapin Rose,In Use,2000,2000,144,1,1,0,Unusual,Unusual,Not provided
50,Department of Natural Resources,Weldon Springs State Park - DeWitt County,"Rr #2, Box 87",Clinton,61727,DeWitt,13,Rodney L. Davis,101,Mitchell Bill,51,Chapin Rose,In Use,2000,2000,144,1,1,0,Unusual,Unusual,Not provided
51,Department of Natural Resources,Weldon Springs State Park - DeWitt County,"Rr #2, Box 87",Clinton,61727,DeWitt,13,Rodney L. Davis,101,Mitchell Bill,51,Chapin Rose,In Use,2000,2000,144,1,1,0,Unusual,Unusual,Not provided
52,Department of Natural Resources,Weldon Springs State Park - DeWitt County,"Rr #2, Box 87",Clinton,61727,DeWitt,13,Rodney L. Davis,101,Mitchell Bill,51,Chapin Rose,In Use,2000,2000,144,1,1,0,Unusual,Unusual,Not provided
53,Department of Natural Resources,Weldon Springs State Park - DeWitt County,"Rr #2, Box 87",Clinton,61727,DeWitt,13,Rodney L. Davis,101,Mitchell Bill,51,Chapin Rose,In Use,2000,2000,144,1,1,0,Unusual,Unusual,Not provided
54,Department of Natural Resources,Weldon Springs State Park - DeWitt County,"Rr #2, Box 87",Clinton,61727,DeWitt,13,Rodney L. Davis,101,Mitchell Bill,51,Chapin Rose,In Use,2000,2000,144,1,1,0,Unusual,Unusual,Not provided
55,Department of Natural Resources,Weldon Springs State Park - DeWitt County,"Rr #2, Box 87",Clinton,61727,DeWitt,13,Rodney L. Davis,101,Mitchell Bill,51,Chapin Rose,In Use,2000,2000,144,1,1,0,Unusual,Unusual,Not provided
56,Department of Natural Resources,Weldon Springs State Park - DeWitt County,"Rr #2, Box 87",Clinton,61727,DeWitt,13,Rodney L. Davis,101,Mitchell Bill,51,Chapin Rose,In Use,2000,2000,540,1,1,0,Assembly,Assembly,Not provided
